Long_name,units,description,CF_Standard_Name,Variable_Name,frequency,dimensions
Surface Abiotic Dissolved Inorganic Carbon-14 Concentration,mol m-3,Abiotic Dissolved inorganic carbon-14 (CO3+HCO3+H2CO3) concentration,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,dissi14cabioos,mon,longitude latitude time
Surface Downward CFC12 Flux,mol m-2 s-1,gas exchange flux of CFC12,surface_downward_mole_flux_of_cfc12,fgcfc12,mon,longitude latitude time
Square of Sea Surface Height Above Geoid,m2,Surface ocean geoid defines z=0.,square_of_sea_surface_height_above_geoid,zossq,mon,longitude latitude time
Surface Dissolved Inorganic Carbon-13 Concentration,mol m-3,Near surface dissolved inorganic carbon-13 (CO3+HCO3+H2CO3) concentration,mole_concentration_of_dissolved_inorganic_13C_in_sea_water,dissi13cos,mon,longitude latitude time
Global Average Thermosteric Sea Level Change,m,There is no CMIP6 request for zosga nor zossga.,global_average_thermosteric_sea_level_change,zostoga,mon, time
Surface Dissolved Organic Carbon Concentration,mol m-3,Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit),mole_concentration_of_dissolved_organic_carbon_in_sea_water,dissocos,mon,longitude latitude time
Ocean Grid-Cell Mass per Area,kg m-2,"Tracer grid-cell mass per unit area used for computing tracer budgets. For Boussinesq models with static ocean grid cell thickness, masscello = rhozero*thickcello, where thickcello is static cell thickness and rhozero is constant Boussinesq reference density. More generally, masscello is time dependent and reported as part of Omon.",sea_water_mass_per_unit_area,masscello,mon,longitude latitude olevel time
Sea Surface Phytoplankton Carbon Concentration,mol m-3,sum of phytoplankton organic carbon component concentrations at the sea surface,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,phycos,mon,longitude latitude time
Ocean Model Cell Thickness,m,"""Thickness"" means the vertical extent of a layer. ""Cell"" refers to a model grid-cell.",cell_thickness,thkcello,mon,longitude latitude olevel time
Sea Water Potential Temperature,degC,Diagnostic should be contributed even for models using conservative temperature as prognostic field.,sea_water_potential_temperature,thetao,mon,longitude latitude olevel time
Surface Zooplankton Carbon Concentration,mol m-3,sum of zooplankton carbon component concentrations,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,zoocos,mon,longitude latitude time
Surface Bacterial Carbon Concentration,mol m-3,Sum of bacterial carbon component concentrations,mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,baccos,mon,longitude latitude time
Global Average Sea Water Potential Temperature,degC,Diagnostic should be contributed even for models using conservative temperature as prognostic field,sea_water_potential_temperature,thetaoga,mon, time
Sea Water Conservative Temperature,degC,Sea water conservative temperature (this should be contributed only for models using conservative temperature as prognostic field),sea_water_conservative_temperature,bigthetao,mon,longitude latitude olevel time
Surface Detrital Organic Carbon Concentration,mol m-3,sum of detrital organic carbon component concentrations,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,detocos,mon,longitude latitude time
Global Average Sea Water Conservative Temperature,degC,Diagnostic should be contributed only for models using conservative temperature as prognostic field.,sea_water_conservative_temperature,bigthetaoga,mon, time
Surface Calcite Concentration,mol m-3,"sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)",mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,calcos,mon,longitude latitude time
Surface Aragonite Concentration,mol m-3,"sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)",mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,aragos,mon,longitude latitude time
Sea Surface Temperature,degC,"Temperature of upper boundary of the liquid ocean, including temperatures below sea-ice and floating ice shelves.",sea_surface_temperature,tos,mon,longitude latitude time
Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mol m-3,carbon from the diatom phytoplankton component concentration alone,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,phydiatos,mon,longitude latitude time
Sea Water Potential Temperature at Sea Floor,degC,Potential temperature at the ocean bottom-most grid cell.,sea_water_potential_temperature_at_sea_floor,tob,mon,longitude latitude time
Surface Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mol m-3,carbon concentration from the diazotrophic phytoplankton component alone,mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water,phydiazos,mon,longitude latitude time
Global Average Sea Surface Temperature,degC,"Temperature of upper boundary of the liquid ocean, including temperatures below sea-ice and floating ice shelves.",sea_surface_temperature,tosga,mon, time
Surface Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,mol m-3,carbon concentration from calcareous (calcite-producing) phytoplankton component alone,mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,phycalcos,mon,longitude latitude time
Square of Sea Surface Temperature,degC2,Square of temperature of liquid ocean.,square_of_sea_surface_temperature,tossq,mon,longitude latitude time
Surface Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mol m-3,carbon concentration from the picophytoplankton (<2 um) component alone,mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,phypicoos,mon,longitude latitude time
Sea Water Salinity,0.001,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. ",sea_water_salinity,so,mon,longitude latitude olevel time
Surface Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mol m-3,carbon concentration from additional phytoplankton component alone,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,phymiscos,mon,longitude latitude time
Global Mean Sea Water Salinity,0.001,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. ",sea_water_salinity,soga,mon, time
Sea Surface Salinity,0.001,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. ",sea_surface_salinity,sos,mon,longitude latitude time
Ocean Grid-Cell Volume,m3,grid-cell volume ca. 2000.,ocean_volume,volcello,mon,longitude latitude olevel time
Surface Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mol m-3,carbon  concentration from the microzooplankton (<20 um) component alone,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,zmicroos,mon,longitude latitude time
Sea Water Salinity at Sea Floor,0.001,Model prognostic salinity at bottom-most model grid cell,sea_water_salinity_at_sea_floor,sob,mon,longitude latitude time
Surface Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mol m-3,carbon  concentration from mesozooplankton (20-200 um) component alone,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,zmesoos,mon,longitude latitude time
Global Average Sea Surface Salinity,0.001,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. ",sea_surface_salinity,sosga,mon, time
Surface Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,mol m-3,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso).  Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.",mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,zmiscos,mon,longitude latitude time
Square of Sea Surface Salinity,1e-06,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. ",square_of_sea_surface_salinity,sossq,mon,longitude latitude time
Surface Total Alkalinity,mol m-3,"total alkalinity equivalent concentration (including carbonate, borate, phosphorus, silicon, and nitrogen components)",sea_water_alkalinity_expressed_as_mole_equivalent,talkos,mon,longitude latitude time
Sea Water Age Since Surface Contact,yr,Time elapsed since water was last in surface layer of the ocean.,sea_water_age_since_surface_contact,agessc,mon,longitude latitude olevel time
Surface Natural Total Alkalinity,mol m-3,"total alkalinity equivalent concentration (including carbonate, borate, phosphorus, silicon, and nitrogen components) at preindustrial atmospheric xCO2",sea_water_alkalinity_natural_analogue_expressed_as_mole_equivalent,talknatos,mon,longitude latitude time
Ocean Barotropic Mass Streamfunction,kg s-1,Streamfunction or its approximation for free surface models. See OMDP document for details.,ocean_barotropic_mass_streamfunction,msftbarot,mon,longitude latitude time
Surface pH,1,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,sea_water_ph_reported_on_total_scale,phos,mon,longitude latitude time
Ocean Mixed Layer Thickness Defined by Sigma T,m,Sigma T is potential density referenced to ocean surface.,ocean_mixed_layer_thickness_defined_by_sigma_t,mlotst,mon,longitude latitude time
Surface Natural pH,1,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,sea_water_ph_natural_analogue_reported_on_total_scale,phnatos,mon,longitude latitude time
Square of Ocean Mixed Layer Thickness Defined by Sigma T,m2,"The phrase ""square_of_X"" means X*X. The ocean mixed layer is the upper part of the ocean, regarded as being well-mixed. The base of the mixed layer defined by ""temperature"", ""sigma"", ""sigma_theta"", ""sigma_t"" or vertical diffusivity is the level at which the quantity indicated differs from its surface value by a certain amount. A coordinate variable or scalar coordinate variable with standard name sea_water_sigma_t_difference can be used to specify the sigma_t criterion that determines the layer thickness. Sigma-t of sea water is the density of water at atmospheric pressure (i.e. the surface) having the same temperature and salinity, minus 1000 kg m-3. ""Thickness"" means the vertical extent of a layer.",square_of_ocean_mixed_layer_thickness_defined_by_sigma_t,mlotstsq,mon,longitude latitude time
Surface Abiotic pH,1,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,sea_water_ph_abiotic_analogue_reported_on_total_scale,phabioos,mon,longitude latitude time
Maximum Ocean Mixed Layer Thickness Defined by Sigma T,m,Sigma T is potential density referenced to ocean surface.,ocean_mixed_layer_thickness_defined_by_sigma_t,mlotstmax,mon,longitude latitude time
Surface Dissolved Oxygen Concentration,mol m-3,"'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'.",mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,o2os,mon,longitude latitude time
Minimum Ocean Mixed Layer Thickness Defined by Sigma T,m,Sigma T is potential density referenced to ocean surface.,ocean_mixed_layer_thickness_defined_by_sigma_t,mlotstmin,mon,longitude latitude time
Surface Dissolved Oxygen Concentration at Saturation,mol m-3,"""Mole concentration at saturation"" means the mole concentration in a saturated solution. Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"".",mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_saturation,o2satos,mon,longitude latitude time
Surface Dissolved Nitrate Concentration,mol m-3,"Mole concentration means moles (amount of substance) per unit volume and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.",mole_concentration_of_nitrate_in_sea_water,no3os,mon,longitude latitude time
Square of Brunt Vaisala Frequency in Sea Water,s-2,"The phrase ""square_of_X"" means X*X. Frequency is the number of oscillations of a wave per unit time. Brunt-Vaisala frequency is also sometimes called ""buoyancy frequency"" and is a measure of the vertical stratification of the medium.",square_of_brunt_vaisala_frequency_in_sea_water,obvfsq,mon,longitude latitude olevel time
Surface Dissolved Ammonium Concentration,mol m-3,"Mole concentration means moles (amount of substance) per unit volume and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.",mole_concentration_of_ammonium_in_sea_water,nh4os,mon,longitude latitude time
Sea Water X Velocity,m s-1,Prognostic x-ward velocity component resolved by the model.,sea_water_x_velocity,uo,mon,longitude latitude olevel time
Surface Total Dissolved Inorganic Phosphorus Concentration,mol m-3,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Dissolved inorganic phosphorus"" means the sum of all inorganic phosphorus in solution (including phosphate, hydrogen phosphate, dihydrogen phosphate, and phosphoric acid).",mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,po4os,mon,longitude latitude time
Sea Water Y Velocity,m s-1,Prognostic y-ward velocity component resolved by the model.,sea_water_y_velocity,vo,mon,longitude latitude olevel time
Surface Dissolved Iron Concentration,mol m-3,"dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)",mole_concentration_of_dissolved_iron_in_sea_water,dfeos,mon,longitude latitude time
Sea Water Vertical Velocity,m s-1,"A velocity is a vector quantity. ""Upward"" indicates a vector component which is positive when directed upward (negative downward).",upward_sea_water_velocity,wo,mon,longitude latitude olevel time
Surface Total Dissolved Inorganic Silicon Concentration,mol m-3,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Dissolved inorganic silicon"" means the sum of all inorganic silicon in solution (including silicic acid and its first dissociated anion SiO(OH)3-).",mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,sios,mon,longitude latitude time
Upward Ocean Mass Transport,kg s-1,Upward mass transport from resolved and parameterized advective transport.,upward_ocean_mass_transport,wmo,mon,longitude latitude olevel time
Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,"Sum of chlorophyll from all phytoplankton group concentrations at the sea surface.  In most models this is equal to chldiat+chlmisc, that is the sum of 'Diatom Chlorophyll Mass Concentration' plus 'Other Phytoplankton Chlorophyll Mass Concentration'",mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,chlos,mon,longitude latitude time
Ocean Mass X Transport,kg s-1,X-ward mass transport from resolved and parameterized advective transport.,ocean_mass_x_transport,umo,mon,longitude latitude olevel time
Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,kg m-3,chlorophyll from diatom phytoplankton component concentration alone,mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,chldiatos,mon,longitude latitude time
Ocean Mass Y Transport,kg s-1,Y-ward mass transport from resolved and parameterized advective transport.,ocean_mass_y_transport,vmo,mon,longitude latitude olevel time
Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,kg m-3,chlorophyll concentration from the diazotrophic phytoplankton component alone,mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water,chldiazos,mon,longitude latitude time
Ocean Meridional Overturning Mass Streamfunction,kg s-1,"Overturning mass streamfunction arising from all advective mass transport processes, resolved and parameterized.",ocean_meridional_overturning_mass_streamfunction,msftmz,mon,latitude olevel basin time
Surface Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,chlorophyll concentration from the calcite-producing phytoplankton component alone,mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water,chlcalcos,mon,longitude latitude time
Ocean Meridional Overturning Mass Streamfunction,kg s-1,"Overturning mass streamfunction arising from all advective mass transport processes, resolved and parameterized.",ocean_meridional_overturning_mass_streamfunction,msftmrho,mon,latitude rho basin time
Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,chlorophyll concentration from the picophytoplankton (<2 um) component alone,mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,chlpicoos,mon,longitude latitude time
Ocean Y Overturning Mass Streamfunction,kg s-1,"Overturning mass streamfunction arising from all advective mass transport processes, resolved and parameterized.",ocean_y_overturning_mass_streamfunction,msftyz,mon,gridlatitude olevel basin time
Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,kg m-3,chlorophyll from additional phytoplankton component concentrations alone,mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,chlmiscos,mon,longitude latitude time
Ocean Y Overturning Mass Streamfunction,kg s-1,"Overturning mass streamfunction arising from all advective mass transport processes, resolved and parameterized.",ocean_y_overturning_mass_streamfunction,msftyrho,mon,gridlatitude rho basin time
Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,kg s-1,"CMIP5 called this ""due to Bolus Advection"".  Name change respects the more general physics of the mesoscale parameterizations.",ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,msftmzmpa,mon,latitude olevel basin time
Surface Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mol m-3,sum of particulate organic nitrogen component concentrations,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,ponos,mon,longitude latitude time
Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,kg s-1,"CMIP5 called this ""due to Bolus Advection"".  Name change respects the more general physics of the mesoscale parameterizations.",ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,msftmrhompa,mon,latitude rho basin time
Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mol m-3,sum of particulate organic phosphorus component concentrations,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,popos,mon,longitude latitude time
Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mol m-3,sum of particulate organic iron component concentrations,mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,bfeos,mon,longitude latitude time
Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,kg s-1,"CMIP5 called this ""due to Bolus Advection"".  Name change respects the more general physics of the mesoscale parameterizations.",ocean_y_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,msftyzmpa,mon,gridlatitude olevel basin time
Surface Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mol m-3,sum of particulate silica component concentrations,mole_concentration_of_particulate_organic_matter_expressed_as_silicon_in_sea_water,bsios,mon,longitude latitude time
Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,kg s-1,"CMIP5 called this ""due to Bolus Advection"".  Name change respects the more general physics of the mesoscale parameterizations.",ocean_y_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,msftyrhompa,mon,gridlatitude rho basin time
Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection,kg s-1,Report only if there is a submesoscale eddy parameterization.,ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_submesoscale_eddy_advection,msftmzsmpa,mon,latitude olevel basin time
Surface Mole Concentration of Phytoplankton Nitrogen in Sea Water,mol m-3,sum of phytoplankton nitrogen component concentrations,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,phynos,mon,longitude latitude time
Ocean Y Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection,kg s-1,Report only if there is a submesoscale eddy parameterization.,ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_submesoscale_eddy_advection,msftyzsmpa,mon,latitude olevel basin time
Surface Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mol m-3,sum of phytoplankton phosphorus components,mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,phypos,mon,longitude latitude time
Northward Ocean Heat Transport,W,"Contains contributions from all physical processes affecting the northward heat transport, including resolved advection, parameterized advection, lateral diffusion, etc. Diagnosed here as a function of latitude and basin.   Use Celsius for temperature scale.",northward_ocean_heat_transport,hfbasin,mon,latitude basin time
Surface Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mol m-3,sum of phytoplankton iron component concentrations,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,phyfeos,mon,longitude latitude time
Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection,W,Contributions to heat transport from parameterized mesoscale eddy-induced advective transport. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.,northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_advection,hfbasinpmadv,mon,latitude basin time
Surface Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mol m-3,sum of phytoplankton silica component concentrations,mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,physios,mon,longitude latitude time
Surface Mole Concentration of Dimethyl Sulphide in Sea Water,mol m-3,Mole concentration of dimethyl sulphide in water in the near surface layer,mole_concentration_of_dimethyl_sulfide_in_sea_water,dmsos,mon,longitude latitude time
Northward Ocean Heat Transport Due to Parameterized Mesoscale Diffusion,W,"Contributions to heat transport from parameterized mesoscale eddy-induced diffusive transport (i.e., neutral diffusion). Diagnosed here as a function of latitude and basin.",northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_diffusion,hfbasinpmdiff,mon,latitude basin time
Surface Carbonate Ion Concentration,mol m-3,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,co3os,mon,longitude latitude time
Northward Ocean Heat Transport Due to Parameterized Submesoscale Advection,W,Contributions to heat transport from parameterized mesoscale eddy-induced advective transport. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.,northward_ocean_heat_transport_due_to_parameterized_submesoscale_eddy_advection,hfbasinpsmadv,mon,latitude basin time
Surface Natural Carbonate Ion Concentration,mol m-3,"Near surface mole concentration (number of moles per unit volume: molarity) of the natural-analogue carbonate anion (CO3). A natural analogue is used to simulate the effect on a modelled variable of imposing preindustrial atmospheric carbon dioxide concentrations, even when the model as a whole may be subjected to varying forcings. ",mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,co3natos,mon,longitude latitude time
Northward Ocean Heat Transport Due to Parameterized Eddy Advection,W,Contributions to heat transport from parameterized eddy-induced advective transport due to any subgrid advective process. Diagnosed here as a function of latitude and basin.  Use Celsius for temperature scale.,northward_ocean_heat_transport_due_to_parameterized_eddy_advection,hfbasinpadv,mon,latitude basin time
Surface Abiotic Carbonate Ion Concentration,mol m-3,Near surface mole concentration (number of moles per unit volume: molarity) of the abiotic-analogue carbonate anion (CO3). An abiotic analogue is used to simulate the effect on a modelled variable when biological effects on ocean carbon concentration and alkalinity are ignored. ,mole_concentration_of_carbonate_abiotic_analogue_expressed_as_carbon_in_sea_water,co3abioos,mon,longitude latitude time
Ocean Heat X Transport,W,"Contains all contributions to ""x-ward"" heat transport from resolved and parameterized processes.  Use Celsius for temperature scale.",ocean_heat_x_transport,hfx,mon,longitude latitude time
Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mol m-3,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure calcite. Aragonite  (CaCO3) is a mineral that is a polymorph of calcium carbonate.,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_calcite_in_sea_water,co3satcalcos,mon,longitude latitude time
Ocean Heat Y Transport,W,"Contains all contributions to ""y-ward"" heat transport from resolved and parameterized processes. Use Celsius for temperature scale.",ocean_heat_y_transport,hfy,mon,longitude latitude time
Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mol m-3,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite  (CaCO3) is a mineral that is a polymorph of calcium carbonate.,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,co3sataragos,mon,longitude latitude time
Northward Ocean Heat Transport Due to Gyre,W,"From all advective mass transport processes, resolved and parameterized.",northward_ocean_heat_transport_due_to_gyre,htovgyre,mon,latitude basin time
Northward Ocean Heat Transport Due to Overturning,W,"From all advective mass transport processes, resolved and parameterized.",northward_ocean_heat_transport_due_to_overturning,htovovrt,mon,latitude basin time
Northward Ocean Salt Transport Due to Gyre,kg s-1,"From all advective mass transport processes, resolved and parameterized.",northward_ocean_salt_transport_due_to_gyre,sltovgyre,mon,latitude basin time
Northward Ocean Salt Transport Due to Overturning,kg s-1,"From all advective mass transport processes, resolved and parameterized.",northward_ocean_salt_transport_due_to_overturning,sltovovrt,mon,latitude basin time
Sea Water Transport,kg s-1,Transport across_line means that which crosses a particular line on the Earth's surface; formally this means the integral along the line of the normal component of the transport.,sea_water_transport_across_line,mfo,mon,oline time
Rainfall Flux,kg m-2 s-1,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",rainfall_flux,prra,mon,longitude latitude time
Snowfall Flux,kg m-2 s-1,At surface; includes precipitation of all forms of water in the solid phase,snowfall_flux,prsn,mon,longitude latitude time
Water Evaporation Flux Where Ice Free Ocean over Sea,kg m-2 s-1,computed as the total mass of water vapor evaporating from the ice-free portion of the ocean  divided by the area of the ocean portion of the grid cell.,water_evapotranspiration_flux,evs,mon,longitude latitude time
Water Flux into Sea Water from Rivers,kg m-2 s-1,computed as the river flux of water into the ocean divided by the area of the ocean portion of the grid cell.,water_flux_into_sea_water_from_rivers,friver,mon,longitude latitude time
Water Flux into Sea Water from Icebergs,kg m-2 s-1,computed as the iceberg melt water  flux into the ocean divided by the area of the ocean portion of the grid cell.,water_flux_into_sea_water_from_icebergs,ficeberg,mon,longitude latitude olevel time
Water Flux into Sea Water from Icebergs,kg m-2 s-1,computed as the iceberg melt water  flux into the ocean divided by the area of the ocean portion of the grid cell.,water_flux_into_sea_water_from_icebergs,ficeberg,mon,longitude latitude time
Water Flux into Sea Water Due to Sea Ice Thermodynamics,kg m-2 s-1,computed as the sea ice thermodynamic water flux into the ocean divided by the area of the ocean portion of the grid cell.,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,fsitherm,mon,longitude latitude time
Water Flux into Sea Water,kg m-2 s-1,Computed as the water flux into the ocean divided by the area of the ocean portion of the grid cell. This is the sum *wfonocorr* and *wfcorr*.,water_flux_into_sea_water,wfo,mon,longitude latitude time
Water Flux into Sea Water Without Flux Correction,kg m-2 s-1,Computed as the water flux (without flux correction) into the ocean divided by the area of the ocean portion of the grid cell.,water_flux_into_sea_water_without_flux_correction,wfonocorr,mon,longitude latitude time
Water Flux Correction,kg m-2 s-1,Computed as the water flux into the ocean due to flux correction divided by the area of the ocean portion of the grid cell.,water_flux_correction,wfcorr,mon,longitude latitude time
Virtual Salt Flux into Sea Water Due to Rainfall,kg m-2 s-1,zero for models using real water fluxes.,virtual_salt_flux_into_sea_water_due_to_rainfall,vsfpr,mon,longitude latitude time
Virtual Salt Flux into Sea Water Due to Evaporation,kg m-2 s-1,zero for models using real water fluxes.,virtual_salt_flux_into_sea_water_due_to_evaporation,vsfevap,mon,longitude latitude time
Virtual Salt Flux into Sea Water from Rivers,kg m-2 s-1,zero for models using real water fluxes.,virtual_salt_flux_into_sea_water_from_rivers,vsfriver,mon,longitude latitude time
Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics,kg m-2 s-1,This variable measures the virtual salt flux into sea water due to the melting of sea ice. It is set to zero in models which receive a real water flux.,virtual_salt_flux_into_sea_water_due_to_sea_ice_thermodynamics,vsfsit,mon,longitude latitude time
Virtual Salt Flux into Sea Water,kg m-2 s-1,It is set to zero in models which receive a real water flux.,virtual_salt_flux_into_sea_water,vsf,mon,longitude latitude time
